Study_Code,Sample_ID,61033_C_percent,01472_N_percent
WHONDRS_S19S,S19S_0001_BULK-D,0.24,0.1
WHONDRS_S19S,S19S_0001_BULK-M,0.24,0.08
WHONDRS_S19S,S19S_0001_BULK-U,0.24,0.09
WHONDRS_S19S,S19S_0003_BULK-D,0.59,0.1
WHONDRS_S19S,S19S_0003_BULK-M,0.54,0.11
WHONDRS_S19S,S19S_0003_BULK-U,0.49,0.11
WHONDRS_S19S,S19S_0004_BULK-D,1.23,0.17
WHONDRS_S19S,S19S_0004_BULK-M,0.24,0.11
WHONDRS_S19S,S19S_0004_BULK-U,0.24,0.14
WHONDRS_S19S,S19S_0006_BULK-D,0.35,0.08
WHONDRS_S19S,S19S_0006_BULK-M,0.96,0.1
WHONDRS_S19S,S19S_0006_BULK-U,0.86,0.14
WHONDRS_S19S,S19S_0007_BULK-D,1.17,0.1
WHONDRS_S19S,S19S_0007_BULK-U,1.32,0.12
WHONDRS_S19S,S19S_0008_BULK-D,0.27,0.11
WHONDRS_S19S,S19S_0008_BULK-M,0.28,0.07
WHONDRS_S19S,S19S_0008_BULK-U,0.46,0.09
WHONDRS_S19S,S19S_0009_BULK-D,0.6,0.08
WHONDRS_S19S,S19S_0009_BULK-M,0.36,0.1
WHONDRS_S19S,S19S_0009_BULK-U,0.51,0.11
WHONDRS_S19S,S19S_0010_BULK-D,0.21,0.08
WHONDRS_S19S,S19S_0010_BULK-M,0.24,0.08
WHONDRS_S19S,S19S_0010_BULK-U,0.73,0.11
WHONDRS_S19S,S19S_0011_BULK-D,2.2,0.21
WHONDRS_S19S,S19S_0011_BULK-M,0.47,0.08
WHONDRS_S19S,S19S_0011_BULK-U,0.63,0.1
WHONDRS_S19S,S19S_0012_BULK-D,0.41,0.09
WHONDRS_S19S,S19S_0012_BULK-M,0.51,0.05
WHONDRS_S19S,S19S_0012_BULK-U,0.24,0.04
WHONDRS_S19S,S19S_0013_BULK-D,8.52,0.42
WHONDRS_S19S,S19S_0013_BULK-M,10.21,0.53
WHONDRS_S19S,S19S_0013_BULK-U,9.62,0.56
WHONDRS_S19S,S19S_0014_BULK-D,6.12,0.3
WHONDRS_S19S,S19S_0014_BULK-M,5.55,0.24
WHONDRS_S19S,S19S_0014_BULK-U,6.46,0.29
WHONDRS_S19S,S19S_0015_BULK-D,0.49,0.09
WHONDRS_S19S,S19S_0015_BULK-M,0.13,0.06
WHONDRS_S19S,S19S_0015_BULK-U,0.17,0.08
WHONDRS_S19S,S19S_0016_BULK-D,4.7,0.13
WHONDRS_S19S,S19S_0016_BULK-M,5.17,0.11
WHONDRS_S19S,S19S_0016_BULK-U,5.86,0.09
WHONDRS_S19S,S19S_0017_BULK-D,2.48,0.12
WHONDRS_S19S,S19S_0017_BULK-M,3.95,0.1
WHONDRS_S19S,S19S_0017_BULK-U,2.94,0.12
WHONDRS_S19S,S19S_0018_BULK-D,0.69,0.1
WHONDRS_S19S,S19S_0018_BULK-M,0.47,0.09
WHONDRS_S19S,S19S_0018_BULK-U,2.58,0.18
WHONDRS_S19S,S19S_0019_BULK-D,0.34,0.08
WHONDRS_S19S,S19S_0019_BULK-M,1.04,0.11
WHONDRS_S19S,S19S_0019_BULK-U,0.51,0.12
WHONDRS_S19S,S19S_0020_BULK-D,0.2,0.08
WHONDRS_S19S,S19S_0020_BULK-M,0.31,0.1
WHONDRS_S19S,S19S_0020_BULK-U,0.22,0.08
WHONDRS_S19S,S19S_0021_BULK-D,0.61,0.1
WHONDRS_S19S,S19S_0021_BULK-M,0.27,0.07
WHONDRS_S19S,S19S_0021_BULK-U,0.28,0.1
WHONDRS_S19S,S19S_0022_BULK-D,0.14,0.09
WHONDRS_S19S,S19S_0022_BULK-M,0.16,0.08
WHONDRS_S19S,S19S_0022_BULK-U,0.22,0.08
WHONDRS_S19S,S19S_0023_BULK-D,0.28,0.09
WHONDRS_S19S,S19S_0023_BULK-M,0.44,0.1
WHONDRS_S19S,S19S_0023_BULK-U,0.41,0.09
WHONDRS_S19S,S19S_0024_BULK-D,2.79,0.18
WHONDRS_S19S,S19S_0024_BULK-M,2.23,0.13
WHONDRS_S19S,S19S_0024_BULK-U,3.11,0.18
WHONDRS_S19S,S19S_0025_BULK-D,0.27,0.09
WHONDRS_S19S,S19S_0025_BULK-M,0.25,0.1
WHONDRS_S19S,S19S_0025_BULK-U,0.21,0.07
