Study_Code,Sample_ID,Total_Bacteria_cells_per_gram,Total_Photorophs_cells_per_gram,Total_Heterotrophs_cells_per_gram
WHONDRS_S19S,S19S_0010_FCS-U,1760000000,35000000,1720000000
WHONDRS_S19S,S19S_0010_FCS-M,2310000000,53500000,2260000000
WHONDRS_S19S,S19S_0010_FCS-D,1470000000,47000000,1420000000
WHONDRS_S19S,S19S_0023_FCS-U,2200000000,3930000,2190000000
WHONDRS_S19S,S19S_0023_FCS-M,2000000000,115000000,1890000000
WHONDRS_S19S,S19S_0023_FCS-D,667000000,2880000,664000000
WHONDRS_S19S,S19S_0067_FCS-U,221000000,54100000,167000000
WHONDRS_S19S,S19S_0067_FCS-M,146000000,28600000,118000000
WHONDRS_S19S,S19S_0067_FCS-D,1080000000,216000000,862000000
WHONDRS_S19S,S19S_0033_FCS-U,32700000,693000,32000000
WHONDRS_S19S,S19S_0033_FCS-M,19600000,29800,19600000
WHONDRS_S19S,S19S_0033_FCS-D,14700000,256000,14500000
WHONDRS_S19S,S19S_0061_FCS-U,31300000,7770000,23500000
WHONDRS_S19S,S19S_0061_FCS-M,2310000000,97800000,2210000000
WHONDRS_S19S,S19S_0061_FCS-D,1710000000,69100000,1640000000
WHONDRS_S19S,S19S_0021_FCS-U,1170000000,10500000,1160000000
WHONDRS_S19S,S19S_0021_FCS-M,5130000000,165000000,4970000000
WHONDRS_S19S,S19S_0021_FCS-D,2250000000,32600000,2220000000
WHONDRS_S19S,S19S_0024_FCS-U,1240000000,56800000,1180000000
WHONDRS_S19S,S19S_0024_FCS-M,2280000000,96000000,2180000000
WHONDRS_S19S,S19S_0024_FCS-D,203000000,18900000,184000000
WHONDRS_S19S,S19S_0092_FCS-U,8260000000,147000000,8110000000
WHONDRS_S19S,S19S_0092_FCS-M,838000000,12200000,826000000
WHONDRS_S19S,S19S_0092_FCS-D,30900000000,290000000,30600000000
WHONDRS_S19S,S19S_0077_FCS-U,137000000,7300000,130000000
WHONDRS_S19S,S19S_0077_FCS-M,453000000,5890000,447000000
WHONDRS_S19S,S19S_0077_FCS-D,265000000,12800000,252000000
WHONDRS_S19S,S19S_0051_FCS-U,411000000,52500000,359000000
WHONDRS_S19S,S19S_0051_FCS-M,2890000000,70800000,2820000000
WHONDRS_S19S,S19S_0051_FCS-D,315000000,36400000,279000000
WHONDRS_S19S,S19S_0090_FCS-U,63500000,22400000,41100000
WHONDRS_S19S,S19S_0090_FCS-M,154000000,50100000,104000000
WHONDRS_S19S,S19S_0090_FCS-D,211000000,46100000,164000000
WHONDRS_S19S,S19S_0036_FCS-U,-9999,-9999,-9999
WHONDRS_S19S,S19S_0075_FCS-U,-9999,-9999,-9999
WHONDRS_S19S,S19S_0074_FCS-U,-9999,-9999,-9999
WHONDRS_S19S,S19S_0036_FCS-M,-9999,-9999,-9999
WHONDRS_S19S,S19S_0075_FCS-M,-9999,-9999,-9999
WHONDRS_S19S,S19S_0074_FCS-M,-9999,-9999,-9999
WHONDRS_S19S,S19S_0074_FCS-D,-9999,-9999,-9999
WHONDRS_S19S,S19S_0036_FCS-D,-9999,-9999,-9999
WHONDRS_S19S,S19S_0075_FCS-D,-9999,-9999,-9999
WHONDRS_S19S,S19S_0076_FCS-U,1060000000,19500000,1040000000
