Study_Code,Sample_ID,Percent_Fine_Sand,Percent_Med_Sand,Percent_Coarse_Sand,Percent_Tot_Sand,Percent_Clay,Percent_Silt
WHONDRS_S19S,S19S_0001_BULK-D,21.1,69.7,0.1,90.9,0,9.1
WHONDRS_S19S,S19S_0001_BULK-M,65.3,26,0.6,91.9,6.9,1.2
WHONDRS_S19S,S19S_0001_BULK-U,20.4,68.6,2.1,91.1,8.9,0
WHONDRS_S19S,S19S_0003_BULK-D,29.9,56.5,0.7,87.1,2.3,10.6
WHONDRS_S19S,S19S_0003_BULK-M,19.2,66.2,1.7,87.1,2.2,10.7
WHONDRS_S19S,S19S_0003_BULK-U,61.2,18,2.9,82.1,0,17.9
WHONDRS_S19S,S19S_0004_BULK-D,20.1,34.1,26.8,81,0,19
WHONDRS_S19S,S19S_0004_BULK-M,10.1,28.9,51.4,90.4,0,9.6
WHONDRS_S19S,S19S_0004_BULK-U,5.6,21.2,53.8,80.6,13.6,5.8
WHONDRS_S19S,S19S_0006_BULK-D,10.7,15.9,66.5,93.1,3.8,3.1
WHONDRS_S19S,S19S_0006_BULK-M,7.8,7.4,75.9,91.1,8.9,0
WHONDRS_S19S,S19S_0006_BULK-U,15.6,56.2,18.6,90.4,9.6,0
WHONDRS_S19S,S19S_0007_BULK-D,20.1,23,45.9,89,11,0
WHONDRS_S19S,S19S_0007_BULK-U,22.2,31.4,37.5,91.1,8.9,0
WHONDRS_S19S,S19S_0008_BULK-D,7.6,14.2,74.2,96,4,0
WHONDRS_S19S,S19S_0008_BULK-M,6.9,9.5,78.5,94.9,5.1,0
WHONDRS_S19S,S19S_0008_BULK-U,9.8,23.5,60.2,93.5,6.5,0
WHONDRS_S19S,S19S_0009_BULK-D,16.6,48.5,22.1,87.2,12.7,0.1
WHONDRS_S19S,S19S_0009_BULK-M,13.8,40.6,37.3,91.7,8.3,0
WHONDRS_S19S,S19S_0009_BULK-U,22.1,46.2,18.6,86.9,11.2,1.9
WHONDRS_S19S,S19S_0010_BULK-D,3.3,4.8,88.8,96.9,3.1,0
WHONDRS_S19S,S19S_0010_BULK-M,5.5,7.2,84,96.7,3.3,0
WHONDRS_S19S,S19S_0010_BULK-U,17.5,5,64,86.5,12.4,1.1
WHONDRS_S19S,S19S_0011_BULK-D,28.9,2.4,39.8,71.1,1.3,27.6
WHONDRS_S19S,S19S_0011_BULK-M,56.1,18.5,3.4,78,14.4,7.6
WHONDRS_S19S,S19S_0011_BULK-U,59.5,24.5,1.1,85.1,11.3,3.6
WHONDRS_S19S,S19S_0012_BULK_U,9.8,15.3,69.7,94.8,0,5.2
WHONDRS_S19S,S19S_0012_BULK-D,6.3,6.9,83.4,96.6,0,3.4
WHONDRS_S19S,S19S_0012_BULK-M,3,35.2,54.8,93,7,0
WHONDRS_S19S,S19S_0013_BULK-D,22.4,10.5,15,47.9,52.1,0
WHONDRS_S19S,S19S_0013_BULK-M,23,4.3,3,30.3,69.7,0
WHONDRS_S19S,S19S_0013_BULK-U,26.8,2.5,2.3,31.6,65.4,3
WHONDRS_S19S,S19S_0014_BULK-D,23.9,1,0.3,25.2,48.3,26.5
WHONDRS_S19S,S19S_0014_BULK-M,34,3.1,3.2,40.3,44.2,15.5
WHONDRS_S19S,S19S_0014_BULK-U,38,2.9,1.1,42,32.2,25.8
WHONDRS_S19S,S19S_0015_BULK-D,34.5,58,1.1,93.6,0,6.4
WHONDRS_S19S,S19S_0015_BULK-M,4.2,87.6,6.6,98.4,1.6,0
WHONDRS_S19S,S19S_0015_BULK-U,19.2,75.5,2.7,97.4,2.6,0
WHONDRS_S19S,S19S_0016_BULK-D,18.4,16.2,15.9,50.5,20.6,28.9
WHONDRS_S19S,S19S_0016_BULK-M,13.9,13.7,18.6,46.2,4.8,49
WHONDRS_S19S,S19S_0016_BULK-U,13.6,12.8,40.6,67,2.8,30.2
WHONDRS_S19S,S19S_0017_BULK-D,18,6.4,16.7,41.1,23.2,35.7
WHONDRS_S19S,S19S_0017_BULK-M,7.4,11.2,36.1,54.7,8.9,36.4
WHONDRS_S19S,S19S_0017_BULK-U,12.1,14.5,20.7,47.3,23.5,29.2
WHONDRS_S19S,S19S_0018_BULK-D,10.1,14.3,66.4,90.8,9.2,0
WHONDRS_S19S,S19S_0018_BULK-M,8,11.6,65.2,84.8,15.2,0
WHONDRS_S19S,S19S_0018_BULK-U,21.3,16,52.1,89.4,10.6,0
WHONDRS_S19S,S19S_0019_BULK-D,9.1,29.1,50,88.2,11.8,0
WHONDRS_S19S,S19S_0019_BULK-M,11.7,19.5,55.8,87,0,13
WHONDRS_S19S,S19S_0019_BULK-U,4.9,8.4,75.3,88.6,2.1,9.3
WHONDRS_S19S,S19S_0020_BULK-D,38.3,52.6,0.6,91.5,6.1,2.4
WHONDRS_S19S,S19S_0020_BULK-M,70.1,7.7,0.7,78.5,0,21.5
WHONDRS_S19S,S19S_0020_BULK-U,38.5,50.4,1.3,90.2,5.6,4.2
WHONDRS_S19S,S19S_0021_BULK-D,79.8,0.6,0.3,80.7,0.9,18.4
WHONDRS_S19S,S19S_0021_BULK-M,89.1,0.2,0.1,89.4,0,10.6
WHONDRS_S19S,S19S_0021_BULK-U,60.4,29.5,1.2,91.1,8.9,0
WHONDRS_S19S,S19S_0022_BULK-D,4.8,40.5,52.8,98.1,1.9,0
WHONDRS_S19S,S19S_0022_BULK-M,6.6,82.9,6.4,95.9,4.1,0
WHONDRS_S19S,S19S_0022_BULK-U,14,72.9,10.6,97.5,0,2.5
WHONDRS_S19S,S19S_0023_BULK-D,14.5,57.2,23.2,94.9,1.7,3.4
WHONDRS_S19S,S19S_0023_BULK-M,16.5,69.7,10.2,96.4,3.6,0
WHONDRS_S19S,S19S_0023_BULK-U,13.2,49.3,31.6,94.1,5.5,0.4
WHONDRS_S19S,S19S_0024_BULK-D,28,6.8,23.5,58.3,37.5,4.2
WHONDRS_S19S,S19S_0024_BULK-M,18.7,33.7,26.6,79,11.4,9.6
WHONDRS_S19S,S19S_0024_BULK-U,34.4,25.5,8.7,68.6,20.8,10.6
WHONDRS_S19S,S19S_0025_BULK-D,16.5,58,18.6,93.1,4.7,2.2
WHONDRS_S19S,S19S_0025_BULK-M,13.1,35.6,43.5,92.2,7.8,0
WHONDRS_S19S,S19S_0025_BULK-U,14.5,73.8,7.5,95.8,4.2,0
