Study_Code,Sample_ID,82338_del_15N_permil,63515_del_13C_permil,Date_Run
WHONDRS_S19S,S19S_0001_BULK-D,1.23,-22.06, 2022-10-24
WHONDRS_S19S,S19S_0001_BULK-M,-1.28,-26.27, 2022-10-24
WHONDRS_S19S,S19S_0001_BULK-U,1.77,-23.2, 2022-10-24
WHONDRS_S19S,S19S_0003_BULK-D,2.61,-26.03, 2022-10-24
WHONDRS_S19S,S19S_0003_BULK-M,4.91,-25.32, 2022-10-24
WHONDRS_S19S,S19S_0003_BULK-U,1.04,-25, 2022-10-24
WHONDRS_S19S,S19S_0004_BULK-D,3.43,-25.3, 2022-10-24
WHONDRS_S19S,S19S_0004_BULK-M,-0.18,-27.76, 2022-10-24
WHONDRS_S19S,S19S_0004_BULK-U,3.91,-26.61, 2022-10-24
WHONDRS_S19S,S19S_0006_BULK-D,1.77,-12.09, 2022-10-24
WHONDRS_S19S,S19S_0006_BULK-M,6.34,-15.98, 2022-10-24
WHONDRS_S19S,S19S_0006_BULK-U,6.68,-16.7, 2022-10-24
WHONDRS_S19S,S19S_0007_BULK-D,0.32,-27.68, 2022-10-24
WHONDRS_S19S,S19S_0007_BULK-U,3.93,-27.77, 2022-10-24
WHONDRS_S19S,S19S_0008_BULK-D,-0.06,-25.88, 2022-10-24
WHONDRS_S19S,S19S_0008_BULK-M,3.73,-28.99, 2022-10-24
WHONDRS_S19S,S19S_0008_BULK-U,0.1,-26.72, 2022-10-24
WHONDRS_S19S,S19S_0009_BULK-D,5.59,-21.22, 2022-10-24
WHONDRS_S19S,S19S_0009_BULK-M,-0.77,-23.1, 2022-10-24
WHONDRS_S19S,S19S_0009_BULK-U,3.54,-20.6, 2022-10-24
WHONDRS_S19S,S19S_0010_BULK-D,2.46,-29.24, 2022-10-24
WHONDRS_S19S,S19S_0010_BULK-M,-4.5,-27.8, 2022-10-24
WHONDRS_S19S,S19S_0010_BULK-U,7.4,-28.57, 2022-10-24
WHONDRS_S19S,S19S_0011_BULK-D,8.9,-28.23, 2022-10-24
WHONDRS_S19S,S19S_0011_BULK-M,8.21,-28.54, 2022-10-24
WHONDRS_S19S,S19S_0011_BULK-U,2.31,-27.91, 2022-10-24
WHONDRS_S19S,S19S_0012_BULK-D,2.78,-35.65, 2022-10-24
WHONDRS_S19S,S19S_0012_BULK-M,5.59,-28.52, 2022-12-19
WHONDRS_S19S,S19S_0012_BULK-U,9.57,-28.62, 2022-12-19
WHONDRS_S19S,S19S_0013_BULK-D,7.31,-9999, 2022-10-24
WHONDRS_S19S,S19S_0013_BULK-M,8.27,-9999, 2022-10-24
WHONDRS_S19S,S19S_0013_BULK-U,9.71,-9999, 2022-10-24
WHONDRS_S19S,S19S_0014_BULK-D,12.6,-21.9, 2022-10-24
WHONDRS_S19S,S19S_0014_BULK-M,8.22,-21.01, 2022-10-24
WHONDRS_S19S,S19S_0014_BULK-U,10.87,-21.78, 2022-10-24
WHONDRS_S19S,S19S_0015_BULK-D,2.81,-28.66, 2022-10-24
WHONDRS_S19S,S19S_0015_BULK-M,4.7,-26.3, 2022-10-24
WHONDRS_S19S,S19S_0015_BULK-U,1.43,-28.39, 2022-10-24
WHONDRS_S19S,S19S_0016_BULK-D,-9999,-5.6, 2022-10-24
WHONDRS_S19S,S19S_0016_BULK-M,7.09,-9999, 2022-10-24
WHONDRS_S19S,S19S_0016_BULK-U,5.13,-9999, 2022-10-24
WHONDRS_S19S,S19S_0017_BULK-D,4.81,-7.2, 2022-10-24
WHONDRS_S19S,S19S_0017_BULK-M,-7.89,0.58, 2022-10-24
WHONDRS_S19S,S19S_0017_BULK-U,4.57,-5.12, 2022-10-24
WHONDRS_S19S,S19S_0018_BULK-D,2.03,-28, 2022-10-24
WHONDRS_S19S,S19S_0018_BULK-M,5.63,-26.74, 2022-10-24
WHONDRS_S19S,S19S_0018_BULK-U,2.97,-28.18, 2022-10-24
WHONDRS_S19S,S19S_0019_BULK-D,0.5,-28.62, 2022-10-24
WHONDRS_S19S,S19S_0019_BULK-M,4.96,-28.78, 2022-10-24
WHONDRS_S19S,S19S_0019_BULK-U,5.93,-29.14, 2022-10-24
WHONDRS_S19S,S19S_0020_BULK-D,-3.58,-28.07, 2022-10-24
WHONDRS_S19S,S19S_0020_BULK-M,0.79,-27.75, 2022-10-24
WHONDRS_S19S,S19S_0020_BULK-U,0.87,-29.05, 2022-10-24
WHONDRS_S19S,S19S_0021_BULK-D,3.82,-27.73, 2022-10-24
WHONDRS_S19S,S19S_0021_BULK-M,1.09,-26.99, 2022-10-24
WHONDRS_S19S,S19S_0021_BULK-U,5.05,-28.11, 2022-10-24
WHONDRS_S19S,S19S_0022_BULK-D,8.54,-26.97, 2022-10-24
WHONDRS_S19S,S19S_0022_BULK-M,4.48,-26.84, 2022-10-24
WHONDRS_S19S,S19S_0022_BULK-U,12.41,-27.15, 2022-10-24
WHONDRS_S19S,S19S_0023_BULK-D,1.73,-28.64, 2022-10-24
WHONDRS_S19S,S19S_0023_BULK-M,1.54,-27.52, 2022-10-24
WHONDRS_S19S,S19S_0023_BULK-U,4.16,-28.79, 2022-10-24
WHONDRS_S19S,S19S_0024_BULK-D,12.6,-16.85, 2022-10-24
WHONDRS_S19S,S19S_0024_BULK-M,5.5,-15.41, 2022-10-24
WHONDRS_S19S,S19S_0024_BULK-U,15.2,-16.3, 2022-10-24
WHONDRS_S19S,S19S_0025_BULK-D,9.09,-24.6, 2022-10-24
WHONDRS_S19S,S19S_0025_BULK-M,26.35,-22.92, 2022-10-24
WHONDRS_S19S,S19S_0025_BULK-U,54.39,-20.91, 2022-10-24
WHONDRS_S19S,S19S_0026_BULK-D,3.52,-25.95, 2022-10-24
WHONDRS_S19S,S19S_0026_BULK-M,2.48,-26.55, 2022-10-24
WHONDRS_S19S,S19S_0026_BULK-U,4.43,-27.26, 2022-10-24
WHONDRS_S19S,S19S_0027_BULK-D,-1.41,-26.82, 2022-10-24
WHONDRS_S19S,S19S_0027_BULK-M,-10.79,-26.54, 2022-10-24
WHONDRS_S19S,S19S_0027_BULK-U,-9999,-26.33, 2022-10-24
WHONDRS_S19S,S19S_0028_BULK-D,68.27,-28.3, 2022-10-24
WHONDRS_S19S,S19S_0028_BULK-M,10.45,-29.71, 2022-10-24
WHONDRS_S19S,S19S_0028_BULK-U,-6.08,-9999, 2022-10-24
WHONDRS_S19S,S19S_0029_BULK-D,6.42,-9999, 2022-10-24
WHONDRS_S19S,S19S_0029_BULK-M,8.1,-9999, 2022-10-24
WHONDRS_S19S,S19S_0029_BULK-U,4.92,-9999, 2022-10-24
WHONDRS_S19S,S19S_0030_BULK-M,3.94,-28.45, 2022-10-24
WHONDRS_S19S,S19S_0030_BULK-U,5.51,-28.74, 2022-10-24
WHONDRS_S19S,S19S_0031_BULK-D,4.06,-28.38, 2022-10-24
WHONDRS_S19S,S19S_0031_BULK-M,1.24,-27.3, 2022-10-24
WHONDRS_S19S,S19S_0031_BULK-U,4.13,-27.77, 2022-10-24
WHONDRS_S19S,S19S_0032_BULK-D,2.61,-26.53, 2022-10-24
WHONDRS_S19S,S19S_0032_BULK-M,2.04,-27.89, 2022-10-24
WHONDRS_S19S,S19S_0032_BULK-U,0.37,-26.74, 2022-10-24
WHONDRS_S19S,S19S_0033_BULK-D,-3.25,-31.66, 2022-10-24
WHONDRS_S19S,S19S_0033_BULK-M,-16.41,-46.41, 2022-10-24
WHONDRS_S19S,S19S_0033_BULK-U,-10.39,-42.46, 2022-10-24
WHONDRS_S19S,S19S_0034_BULK-D,7.99,-24.74, 2022-10-24
WHONDRS_S19S,S19S_0034_BULK-M,-2.71,-26.14, 2022-10-24
WHONDRS_S19S,S19S_0034_BULK-U,1.21,-26.43, 2022-10-24
WHONDRS_S19S,S19S_0035_BULK-D,4.4,-27.03, 2022-10-24
WHONDRS_S19S,S19S_0035_BULK-M,2.35,-27.28, 2022-10-24
WHONDRS_S19S,S19S_0035_BULK-U,4.37,-26.86, 2022-10-24
WHONDRS_S19S,S19S_0036_BULK-D,3.78,-26.25, 2022-10-24
WHONDRS_S19S,S19S_0036_BULK-M,7.02,-27.03, 2022-10-24
WHONDRS_S19S,S19S_0036_BULK-U,2.06,-25.98, 2022-10-24
WHONDRS_S19S,S19S_0037_BULK-D,-10.69,-29.58, 2022-10-24
WHONDRS_S19S,S19S_0037_BULK-M,3.41,-25.74, 2022-10-24
WHONDRS_S19S,S19S_0037_BULK-U,1,-40.15, 2022-10-24
WHONDRS_S19S,S19S_0038_BULK-D,3.87,-27.28, 2022-10-24
WHONDRS_S19S,S19S_0038_BULK-M,1.85,-24.95, 2022-10-24
WHONDRS_S19S,S19S_0038_BULK-U,4.56,-32.07, 2022-10-24
WHONDRS_S19S,S19S_0039_BULK-D,5.87,-28.11, 2022-10-24
WHONDRS_S19S,S19S_0039_BULK-M,9.68,-9999, 2022-10-24
WHONDRS_S19S,S19S_0039_BULK-U,3.74,-9999, 2022-10-24
WHONDRS_S19S,S19S_0040_BULK-U,-9999,-12.27, 2022-10-24
WHONDRS_S19S,S19S_0041_BULK-D,61.95,-29, 2022-10-24
WHONDRS_S19S,S19S_0041_BULK-M,4.42,-28.95, 2022-10-24
WHONDRS_S19S,S19S_0041_BULK-U,-2.13,-28.97, 2022-10-24
