Study_Code,Sample_ID,00681_NPOC_mg_per_L_as_C
WHONDRS_S19S,S19S_0067_Sed_Field_ICR-D,24.32
WHONDRS_S19S,S19S_0072_Sed_Field_ICR-M,8.9
WHONDRS_S19S,S19S_0073_Sed_Field_ICR-U,20.24
WHONDRS_S19S,S19S_0071_Sed_Field_ICR-U,31.58
WHONDRS_S19S,S19S_0064_Sed_Field_ICR-M,21.81
WHONDRS_S19S,S19S_0067_Sed_Field_ICR-U,29.74
WHONDRS_S19S,S19S_0072_Sed_Field_ICR-U,10.87
WHONDRS_S19S,S19S_0070_Sed_Field_ICR-M,8.6
WHONDRS_S19S,S19S_0064_Sed_Field_ICR-D,25.59
WHONDRS_S19S,S19S_0035_Sed_Field_ICR-D,23.76
WHONDRS_S19S,S19S_0073_Sed_Field_ICR-D,24.75
WHONDRS_S19S,S19S_0071_Sed_Field_ICR-D,21.59
WHONDRS_S19S,S19S_0073_Sed_Field_ICR-M,21.83
WHONDRS_S19S,S19S_0068_Sed_Field_ICR-U,8.71
WHONDRS_S19S,S19S_0071_Sed_Field_ICR-M,20.39
WHONDRS_S19S,S19S_0067_Sed_Field_ICR-M,21.66
WHONDRS_S19S,S19S_0019_Sed_Field_ICR-M,13.1
WHONDRS_S19S,S19S_0083_Sed_Field_ICR-U,23.29
WHONDRS_S19S,S19S_0072_Sed_Field_ICR-D,8.19
WHONDRS_S19S,S19S_0057_Sed_Field_ICR-U,21.25
WHONDRS_S19S,S19S_0078_Sed_Field_ICR-M,11.38
WHONDRS_S19S,S19S_0100_Sed_Field_ICR-U,4
WHONDRS_S19S,S19S_0079_Sed_Field_ICR-M,9.43
WHONDRS_S19S,S19S_0089_Sed_Field_ICR-M,33.07
WHONDRS_S19S,S19S_0089_Sed_Field_ICR-D,Above_Range_Greater_Than_22
WHONDRS_S19S,S19S_0100_Sed_Field_ICR-D,12.65
WHONDRS_S19S,S19S_0017_Sed_Field_ICR-D,7.86
WHONDRS_S19S,S19S_0057_Sed_Field_ICR-D,35.93
WHONDRS_S19S,S19S_0053_Sed_Field_ICR-D,12.36
WHONDRS_S19S,S19S_0017_Sed_Field_ICR-U,4.33
WHONDRS_S19S,S19S_0079_Sed_Field_ICR-U,15.33
WHONDRS_S19S,S19S_0100_Sed_Field_ICR-M,5.51
WHONDRS_S19S,S19S_0060_Sed_Field_ICR-M,10.32
WHONDRS_S19S,S19S_0052_Sed_Field_ICR-M,22.9
WHONDRS_S19S,S19S_0052_Sed_Field_ICR-U,11.65
WHONDRS_S19S,S19S_0091_Sed_Field_ICR-M,1.35
WHONDRS_S19S,S19S_0091_Sed_Field_ICR-D,3.28
WHONDRS_S19S,S19S_0053_Sed_Field_ICR-M,11.3
WHONDRS_S19S,S19S_0089_Sed_Field_ICR-U,32.15
WHONDRS_S19S,S19S_0052_Sed_Field_ICR-D,16.47
WHONDRS_S19S,S19S_0091_Sed_Field_ICR-U,1.67
WHONDRS_S19S,S19S_0053_Sed_Field_ICR-U,11.13
WHONDRS_S19S,S19S_0098_Sed_Field_ICR-M,38.7
WHONDRS_S19S,S19S_0017_Sed_Field_ICR-M,4.84
WHONDRS_S19S,S19S_0081_Sed_Field_ICR-M,7.58
WHONDRS_S19S,S19S_0014_Sed_Field_ICR-M,12.25
WHONDRS_S19S,S19S_0082_Sed_Field_ICR-D,17.91
WHONDRS_S19S,S19S_0014_Sed_Field_ICR-D,14.07
WHONDRS_S19S,S19S_0078_Sed_Field_ICR-U,6.93
WHONDRS_S19S,S19S_0098_Sed_Field_ICR-D,31.86
