WH_ID,lon,lat,WH_SO,RA_cms_cyr,RA_cms_cmn,RA_cms_cmx,RA_SO,RA_dm,RA_lm,my_lm,RA_xam2,run_mm_cyr,dor_pc_pva,gwt_cm_cav,ele_mt_cav,slp_dg_cav,sgr_dk_rav,tmp_dc_cyr,tmp_dc_cdi,tmp_dc_uyr,pre_mm_cyr,pre_mm_cdi,pre_mm_uyr,aet_mm_cyr,aet_mm_cdi,aet_mm_uyr,cmi_ix_cyr,cmi_ix_cdi,cmi_ix_uyr,snw_pc_cyr,snw_pc_cmx,snw_pc_uyr,for_pc_cse,for_pc_use,crp_pc_cse,crp_pc_use,pst_pc_cse,pst_pc_use,ire_pc_cse,ire_pc_use,gla_pc_cse,gla_pc_use,prm_pc_cse,prm_pc_use,pac_pc_cse,pac_pc_use,cly_pc_cav,cly_pc_uav,slt_pc_cav,slt_pc_uav,snd_pc_cav,snd_pc_uav,soc_th_cav,soc_th_uav,swc_pc_cyr,swc_pc_cdi,swc_pc_uyr,kar_pc_cse,kar_pc_use,ero_kh_cav,ero_kh_uav,pop_ct_csu,pop_ct_usu,ppd_pk_cav,ppd_pk_uav,urb_pc_cse,urb_pc_use,nli_ix_cav,nli_ix_uav,rdd_mk_cav,rdd_mk_uav,hft_ix_c09,hft_ix_u09,gdp_md_cav,gdp_md_usu,hdi_ix_cav,dist_m
S19S_0001,-121.45047,49.38609,9 ,2776.552,967.051,5803.053,7,6.68333,1.32,1319.46471474,2263.17,1160,298,429,104,71,0,96,185,20,1716,213,599,623,96,431,53,164,-12,26,52,46,67,73,0,1,0,2,0,0,0,1,0,3,0,13,9,14,43,38,48,47,100,85,85,45,71,0,8,2067,1109,0.704,368.769,483.425,1.852,0,0,3517,100,316,16,322,13,0.041007,15406.1,923, 57.3131639482
S19S_0003,-120.36647,50.6888,7 ,707.925,210.964,1591.420,6,4.24002,4.25,4256.93946078,709.47,243,7,491,479,69,2,80,252,27,306,21,677,270,45,463,-65,161,-2,13,61,47,28,71,3,1,25,4,0,1,0,1,0,3,1,17,21,12,45,37,33,49,29,82,35,27,76,0,1,397,1192,17.512,158.966,934.908,4.654,51,0,6022,200,185,23,367,22,0.041007,6746.72,923, 89.5390302146
S19S_0004,-119.72196,50.7751,6 ,257.211,68.720,619.784,5,3.0459,10.99,11007.6684388,308.947,334,20,359,577,105,4,66,244,32,458,27,684,393,66,473,-46,162,-3,29,87,46,72,75,5,1,35,4,24,1,0,0,0,2,0,5,18,11,42,35,40,52,49,82,52,40,75,0,0,714,951,1.077,55.604,25.614,4.073,0,0,1426,200,143,23,155,23,0.041007,2395.44,923, 175.774063778
S19S_0005,-97.40781,49.86887, ,55.165,44.176,66.297,7,1.41408,20.28,20320.5054035,41.1032,62,1009,2,237,1,1,22,380,23,515,65,420,444,85,367,-34,152,-46,35,100,34,0,10,60,66,4,17,1,0,0,0,0,0,4,6,19,20,40,41,41,39,41,23,61,24,50,100,2,630,874,34.801,671.026,307.921,4.633,17,0,5071,800,537,121,324,46,0.039159,31372.8,898, 13.296301279
S19S_0006,-76.717163,39.311369,2 ,0.355,0.199,0.717,1,0.175158,4.67,4677.82798905,0.892291,557,0,168,128,20,96,124,247,124,1119,31,1119,853,103,853,1,115,1,2,19,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6,19,19,37,37,45,45,27,27,82,39,82,0,0,428,428,30.792,30.792,1529.110,1529.199,100,100,6300,6300,9656,9656,365,365,0.064307,2057.21,953, 110.977588088
S19S_0007,-119.195598,37.05255,1 ,1.244,0.206,3.237,2,0.33367,7.50,7498.54647476,2.72987,260,0,494,2007,112,273,79,155,58,877,158,818,563,77,531,-12,177,-8,33,90,41,99,96,0,0,5,8,0,0,0,0,0,0,0,9,11,12,27,27,61,61,54,46,64,75,66,0,0,1205,2141,0.006,0.006,0.147,0.049,0,0,0,0,5,10,3,3,0.055768,0.327264,951, 3505.97670458
S19S_0008,-119.027785,36.961112,1 ,0.118,0.019,0.288,1,0.129239,0.93,927.173167514,1.36882,344,0,458,2186,118,2539,69,153,69,832,149,832,542,73,542,-11,176,-11,32,85,32,100,100,1,1,1,1,0,0,0,0,0,0,0,0,13,13,30,30,57,57,49,49,65,73,65,100,100,3376,3376,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0.055768,0,951, 1999.70712708
S19S_0009,-108.3983,42.9877,6 ,17.517,6.923,50.657,5,1.25247,4.80,4804.81515492,32.7156,112,48,150,1525,10,12,73,301,39,212,38,315,187,35,274,-81,93,-63,16,61,30,0,33,8,3,71,60,13,4,0,0,0,3,0,9,16,15,37,36,47,49,14,26,17,11,33,31,26,307,1643,0.572,17.100,28.397,3.471,0,0,2357,300,353,82,238,42,0.058978,994.888,891, 373.155288792
S19S_0010,-81.840062,31.667875,7 ,406.642,163.223,901.220,6,3.48063,11.09,11087.9994323,426.351,342,130,55,26,6,5,191,174,175,1258,104,1203,1065,82,986,-14,90,-15,0,2,0,69,67,6,17,0,4,1,3,0,0,0,0,27,2,18,19,30,33,52,48,44,28,75,27,72,100,45,1148,1169,3.303,2866.802,63.860,81.779,0,7,2810,1700,925,831,207,136,0.04558,148582,921, 96.8058339706
S19S_0011,-83.437674,33.955686,5 ,16.429,5.617,34.330,4,1.05507,10.46,10455.0674717,22.5297,436,0,140,215,25,17,162,207,156,1259,53,1344,980,100,998,-6,113,2,0,1,0,31,87,8,22,3,9,1,1,0,0,0,0,0,1,19,20,34,35,48,45,32,29,77,44,80,0,10,596,1267,29.903,192.422,820.398,187.446,86,20,6264,3800,5276,1854,385,262,0.04558,10313.1,921, 95.5308276101
