STAT_ID,Temp_water,pH,DO_mgL,DOSAT,TOC
100001,8.11818181818,7.22363636364,NaN,88.6020408163,1065.22716667
100002,8.14646464646,7.06666666667,NaN,86.2948717949,771.941923077
100003,10,7.775,NaN,97.25,NaN
100004,9.92613636364,6.67897727273,NaN,80.0147058824,1013.63008046
100005,10.0882352941,6.38235294118,NaN,92.6785714286,713.09625
100006,9.51470588235,6.625,NaN,85.6888888889,805.434407407
100007,9.91379310345,6.90459770115,NaN,98.1739130435,856.411772727
100008,8.43269230769,6.625,NaN,88.1590909091,564.165428571
100009,10.1526315789,7.08809022556,NaN,96.3709026549,578.817173913
100010,7.53048780488,6.46932515337,NaN,98.1829268293,289.318166667
100011,10.8529411765,6.66764705882,NaN,91.2,627.202666667
100013,10.015037594,6.88863636364,NaN,96.75,709.955272727
100014,10.7207207207,7.07927927928,NaN,94,541.549045455
100015,9.73456790123,6.56728395062,NaN,94.9366197183,462.58402439
100016,11.1,6.62,NaN,119.4925,NaN
100017,12.65,6.85,NaN,113.386,NaN
100018,10.95,6.33,NaN,84.2725,NaN
100019,12.5,6.815,NaN,95.007,NaN
100020,10.9,6.36,NaN,88.483,NaN
100021,13.3,6.55,NaN,103.648,NaN
100022,13.4259259259,6.14814814815,NaN,97.4444444444,278.217166667
100023,13.05,6.49,NaN,96.773,NaN
100024,18.0285714286,6.72142857143,NaN,97.5741428571,536.3252
100025,14.7,6.67,NaN,81.921,NaN
100026,15.15,7.2,NaN,95.986,NaN
100027,10.0111111111,6.53842105263,NaN,87.2186428571,431.9706
100028,19.9,7.38571428571,NaN,97.8604285714,599.3006
100029,11.7774725275,6.70621468927,NaN,93.3130434783,483.515
100030,17.1875,7.32125,NaN,93.80725,532.5784
100031,15.65,6.75,NaN,87.198,NaN
100032,15,6.9,NaN,97.353,NaN
100033,17.5,6.97,NaN,102.4375,NaN
100034,12.6117647059,7.01309090909,NaN,94.3676323529,NaN
100035,11.1229166667,6.9827173913,NaN,82.4577708333,1285.0386
100036,11.4086956522,7.28345454545,NaN,87.6604565217,848.4388
